,Authors.full.names,Title,Year,Source.title,Cited.by,DOI,Link,Abstract,Author.Keywords,Index.Keywords,Language.of.Original.Document,Source,Document.Type,doi_n,asreview_group_id,asreview_label,asreview_time,asreview_note
622,"Lavy, Victor ; Ebenstein, Avraham ; Roth, Sefi",the impact of short term exposure to ambient air pollution on cognitive performance and human capital formation,2014,The Impact of Short Term Exposure to Ambient Air Pollution on Cognitive Performance and Human Capital Formation,,,https://research.ebsco.com/plink/0824e3f6-30c1-3513-a41b-1bf2ad56885c,"Cognitive performance is critical to productivity in many occupations and potentially linked to pollution exposure. We evaluate this potentially important relationship by estimating the effect of pollution exposure on standardized test scores among Israeli high school high-stakes tests (2000-2002). Since students take multiple exams on multiple days in the same location after each grade, we can adopt a fixed effects strategy estimating models with city, school, and student fixed effects. We focus on fine particulate matter (PM2.5) and carbon monoxide (CO), which are considered to be two of the most dangerous forms of air pollution. We find that while PM2.5 and CO levels are only weakly correlated with each other, both exhibit a robust negative relationship with test scores. We also find that PM2.5, which is thought to be particularly damaging for asthmatics, has a larger negative impact on groups with higher rates of asthma. For CO, which affects neurological functioning, the effect is more homogenous across demographic groups. Furthermore, we find that exposure to either pollutant is associated with a significant decline in the probability of not receiving a Bagrut certificate, which is required for college entrance in Israel. The results suggest that the gain from improving air quality may be underestimated by a narrow focus on health impacts. Insofar as air pollution may lead to reduced cognitive performance, the consequences of pollution may be relevant for a variety of everyday activities that require mental acuity. Moreover, by temporarily lowering the productivity of human capital, high pollution levels lead to allocative inefficiency as students with lower human capital are assigned a higher rank than their more qualified peers. This may lead to inefficient allocation of workers across occupations, and possibly a less productive workforce.",Analysis of Education ; Human Capital; Skills; Occupational Choice; Labor Productivity,Analysis of Education ; Human Capital; Skills; Occupational Choice; Labor Productivity,eng,EconLit,Working Paper,,622,1,2026-07-01 12:19:17,
579,"Behrer, Arnold Patrick ; Choudhary, Rishabh ; Sharma, Dhruv",air pollution reduces economic activity evidence from india,2023,Air Pollution Reduces Economic Activity: Evidence from India,,,https://research.ebsco.com/plink/f1dd7c3e-8f45-3744-a750-3fbe68453fce,"Exposure to fine particulate pollution (PM2.5) increases mortality and morbidity and reduces human capital formation and worker productivity. As a consequence, high levels of particulate pollution may adversely affect economic activity. Using a novel dataset of changes in the annual gross domestic product of Indian districts, this paper investigates the impact of changes in the level of ambient PM2.5 on district-level gross domestic product. Using daily temperature inversions as an instrument for pollution exposure, this paper finds that higher levels of particulate pollution reduce gross domestic product. The effect is non-trivial--the median annual increase in the level of PM2.5 reduces year-to-year changes in gross domestic product by 0.56 percentage points.",,,eng,EconLit,Working Paper,,579,1,2026-07-01 12:19:22,
680,"Meyer, Steffen ; Pagel, Michaela",fresh air eases work the effect of air quality on individual investor activity,2017,Fresh Air Eases Work--The Effect of Air Quality on Individual Investor Activity,,,https://research.ebsco.com/plink/4c485ce9-80df-3446-881c-1d4835b79a50,"This paper shows that air quality has a significantly negative effect on the likelihood of individual investors to sit down, log in, and trade in their brokerage accounts controlling for investor-, weather-, traffic-, and market-specific factors. In perspective, a one standard deviation increase in fine particulate matter leads to the same reduction in the probability of logging in and trading as a one standard deviation increase in sunshine. We document this effect for low levels of pollution that are commonly found throughout the developed world. As individual investor trading can be a proxy for everyday cognitively-demanding tasks such as office work, our findings suggest that the negative effects of pollution on white-collar work productivity are much more severe than previously thought. To our knowledge, this is the first study to demonstrate a negative impact of pollution on a measure of white-collar productivity at the individual level in a western country.",Household Saving; Personal Finance ; Portfolio Choice; Investment Decisions ; Time Allocation and Labor Supply ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Valuation of Environmental Effects ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,Household Saving; Personal Finance ; Portfolio Choice; Investment Decisions ; Time Allocation and Labor Supply ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Valuation of Environmental Effects ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,eng,EconLit,Working Paper,,680,1,2026-07-01 12:19:31,
498,"Inafuku, Rachel ; Halliday, Timothy J. ; Lusher, Lester ; de Paula, Aureo",vog using volcanic eruptions to estimate the impact of air pollution on student test scores,2026,Oxford Bulletin of Economics & Statistics,,,https://research.ebsco.com/plink/27994049-3530-30c5-8283-59bd39b23813,We pair variation stemming from volcanic eruptions with the census of Hawaii's public schools' student test scores to estimate the impact of PM2.5 and SO2 on student performance. Increased particulate pollution decreases test scores. These results are concentrated among schools with the highest long-term average levels of pollution. The effects of PM2.5 are larger for the poorest pupils by a factor of at least three. We demonstrate that poor air quality disproportionately impacts the human capital accumulation of economically disadvantaged children.,Analysis of Education ; Returns to Education ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Valuation of Environmental Effects ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,Analysis of Education ; Returns to Education ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Valuation of Environmental Effects ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,eng,EconLit,Journal Article,,498,1,2026-07-01 12:19:52,
746,"Vahedi, Sajad",three essays on environmental economics effects of air pollution on health and human capital,2017,Three Essays on Environmental Economics: Effects of Air Pollution on Health and Human Capital,,,https://research.ebsco.com/plink/05675d06-25ce-320f-ba93-285d98fb7b3a,"This dissertation consists of three chapters. Chapter one examines whether spending different amount of time outdoors on weekends and weekdays change the estimates of the impact of ground level ozone on the incidents of respiratory disease and asthma in California. This chapter contributes to the literature that focuses on the short term effect of air pollution on public health. Using the American Time Use Survey data, Ifind that on average people spend 50 min outdoors on weekends more than weekdays. Incorporating this difference in estimating the health impact of ozone changes the results significantly, especially for adults 20-64. The specification also allows me to find a precise estimate for each day of the week. In chapter two I estimate the effect of exposure to ozone on skills of children aged 3 to 15 years. I use the Letter-Word (LW) test scores from the Panel Study of Income Dynamics (PSID) as a measure of children's skills. Due to omitted variable bias, OLS estimate of ozone effect on children's skill is positive and imprecisely estimated. To mitigate the omitted variable bias I use the instrumental variables approach. This method accounts for endogeneity of pollution. The effect of ozone on children's skills becomes negative but only marginally significant. In chapter three, I estimate a production function of skill formation for children 3 to 15 years old and simultaneously account for their childhood exposure to ozone. I find that a one standard deviation increase in ozone leads to a 0.07 standard deviation reduction in the LW test scores on average. The LW test score of 3 year olds drops by 0.10 standard deviation in response to one standard deviation increase in pollution levels, while for the 14 year olds this effect is only half as much, 0.04 standard deviation. I also find that households exhibit compensatory behavior and mitigate the negative effect of pollution by investing more on their children. I quantitatively demonstrate that certain policies, such as a reduction in pollution levels or income transfers to families, can remediate the negative impact of childhood exposure to pollution on adult outcomes.",Fertility; Family Planning; Child Care; Children; Youth ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Valuation of Environmental Effects ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,Fertility; Family Planning; Child Care; Children; Youth ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Valuation of Environmental Effects ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,eng,EconLit,Dissertation,,746,1,2026-07-01 12:20:17,
511,"Kunn, Steffen ; Palacios, Juan ; Pestel, Nico",indoor air quality and strategic decision making,2023,Management Science,,,https://research.ebsco.com/plink/8140b8d0-ef4e-3278-895a-ca4b74693a54,"Decision making on the job is becoming increasingly important in the labor market, in which there is an unprecedented rise in demand for workers with problem-solving and critical-thinking skills. This paper investigates how indoor air quality affects the quality of strategic decision making based on data from official chess tournaments. Our main analysis relies on a unique data set linking the readings of air-quality monitors inside the tournament room to the quality of 30,000 moves, each of them objectively evaluated by a powerful artificial intelligence-based chess engine. The results show that poor indoor air quality hampers players' decision making. We find that an increase in the indoor concentration of fine particulate matter (PM2.5) by 10 micro g/m3 (corresponding to 75% of a standard deviation in our sample) increases a player's probability of making an erroneous move by 26.3%. The decomposition of the effects by different stages of the game shows that time pressure amplifies the damage of poor air quality to the players' decisions. We implement a number of robustness checks and conduct a replication exercise with analogous move-quality data from games in the top national league showing the strength of our results. The results highlight the costs of poor air quality for highly skilled professionals faced with strategic decisions under time pressure.",Human Capital; Skills; Occupational Choice; Labor Productivity ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,Human Capital; Skills; Occupational Choice; Labor Productivity ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,eng,EconLit,Journal Article,,511,1,2026-07-01 12:21:12,
80,"Laurent, Jose Guillermo Cedeno; MacNaughton, Piers; Jones, Emily; Young, Anna S.; Bliss, Maya; Flanigan, Skye; Vallarino, Jose; Chen, Ling Jyh; Cao, Xiaodong; Allen, Joseph G.",associations between acute exposures to pm2 5 and carbon dioxide indoors and cognitive function in office workers a multicountry longitudinal prospective observational study,2021,ENVIRONMENTAL RESEARCH LETTERS,,10.1088/1748-9326/ac1bd8,0,"Despite evidence of the air pollution effects on cognitive function, little is known about the acute impact of indoor air pollution on cognitive function among the working-age population. We aimed to understand whether cognitive function was associated with real-time indoor concentrations of particulate matter (PM2.5) and carbon dioxide (CO2). We conducted a prospective observational longitudinal study among 302 office workers in urban commercial buildings located in six countries (China, India, Mexico, Thailand, the United States of America, and the United Kingdom). For 12 months, assessed cognitive function using the Stroop color-word test and addition-subtraction test (ADD) via a mobile research app. We found that higher PM2.5 and lower ventilation rates, as assessed by CO2 concentration, were associated with slower response times and reduced accuracy (fewer correct responses per minute) on the Stroop and ADD for eight out ten test metrics. Each interquartile (IQR) increase in PM2.5 (IQR = 8.8 mu g m(-3)) was associated with a 0.82% (95% CI: 0.42, 1.21) increase in Stroop response time, a 6.18% (95% CI: 2.08, 10.3) increase in Stroop interference time, a 0.7% (95% CI: -1.38, -0.01) decrease in Stroop throughput, and a 1.51% (95% CI: -2.65, -0.37) decrease in ADD throughput. For CO2, an IQR increase (IQR = 315 ppm) was associated with a 0.85% (95% CI: 0.32, 1.39) increase in Stroop response time, a 7.88% (95% CI: 2.08, 13.86) increase in Stroop interference time, a 1.32% (95% CI: -2.3, -0.38) decrease in Stroop throughput, and a 1.13% (95% CI: 0.18, 2.11) increase in ADD response time. A sensitivity analysis showed significant association between PM2.5 in four out of five cognitive test performance metrics only at levels above 12 mu g m(-3). Enhanced filtration and higher ventilation rates that exceed current minimum targets are essential public health strategies that may improve employee productivity.",,,,Web of Science,,10.1088/1748-9326/ac1bd8,80,1,2026-07-01 12:21:28,
647,"Dechezlepretre, Antoine ; Rivers, Nicholas ; Stadler, Balazs",the economic cost of air pollution evidence from europe,2019,The economic cost of air pollution: Evidence from Europe,,,https://research.ebsco.com/plink/d9b70b9d-ab5f-3e60-be42-c49d7e142651,"This study provides the first evidence that air pollution causes economy-wide reductions in market economic activity based on data for Europe. The analysis combines satellite-based measures of air pollution with statistics on regional economic activity at the NUTS-3 level throughout the European Union over the period 2000-15. An instrumental variables approach based on thermal inversions is used to identify the causal impact of air pollution on economic activity. The estimates show that a 1 microgram/m3 increase in PM2.5 concentration (or a 10% increase at the sample mean) causes a 0.8% reduction in real GDP that same year. Ninety-five per cent of this impact is due to reductions in output per worker, which can occur through greater absenteeism at work or reduced labour productivity. Therefore, the results suggest that public policies to reduce air pollution may contribute positively to economic growth. Indeed, the large economic benefits from pollution reduction uncovered in the study compare with relatively small abatement costs. Thus, more stringent air quality regulations could be warranted based solely on economic grounds, even ignoring the large benefits in terms of avoided mortality.","Human Capital; Skills; Occupational Choice; Labor Productivity ; Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products ; Valuation of Environmental Effects ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Regional Economic Activity: Growth, Development, Environmental Issues, and Changes","Human Capital; Skills; Occupational Choice; Labor Productivity ; Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products ; Valuation of Environmental Effects ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Regional Economic Activity: Growth, Development, Environmental Issues, and Changes",eng,EconLit,Working Paper,,647,1,2026-07-01 12:21:35,
531,"Gazze, Ludovica ; Gupta, Tanu ; Huang, Allen (Weiyi) ; Londono, Valentina ; Saavedra, Santiago ; Toma, Mattie",air quality and conferences engagement,2025,Air Quality and Conferences Engagement,,,https://research.ebsco.com/plink/47652428-bc6c-3ffa-8a1c-466c5110508f,"There is limited evidence on the non-health impacts of air pollution, including productivity in the workplace and behavior. We examine the effect of air pollution on participation, collaboration, and feedback provision in a workplace setting. Our experiment randomly assigns air purifiers to rooms at three large academic conferences to investigate the causal impact of air pollution on participants' engagement behavior. We construct a participant engagement index based on 12 presentation-level behavioral outcomes directly measured by conference observers through an online form and weigh each behavioral outcome using weights elicited from an expert survey. Conference rooms treated with air purifiers exhibit 48% less PM2.5 concentration compared to control rooms. However, we do not find a statistically significant change in engagement. Communication in the workplace might not be a large driver of the empirical relationship between air quality and productivity, albeit more research is needed across workplaces and measures of communication.",Human Capital; Skills; Occupational Choice; Labor Productivity ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,Human Capital; Skills; Occupational Choice; Labor Productivity ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,eng,EconLit,Working Paper,,531,1,2026-07-01 12:22:37,
5,"Kahn, Matthew E.; Li, Pei",air pollution lowers high skill public sector worker productivity in china,2020,ENVIRONMENTAL RESEARCH LETTERS,,10.1088/1748-9326/ab8b8c,0,"China's urbanites continue to be exposed to high levels of air pollution. Such pollution exposure raises mortality risk, lowers the day-to-day sentiment of the population and lowers outdoor worker productivity. Using a unique set of data for Chinese judges, we document that local air pollution also lowers the productivity of high skilled government officials who work indoors. Our new evidence on the effects of air pollution highlights both the challenge that pollution poses for quality of life and workforce productivity and indicates that the Chinese urban elites gain co-benefits when their cities burn less fossil fuel.",,,,Web of Science,,10.1088/1748-9326/ab8b8c,5,1,2026-07-01 12:22:46,
27,"Cao, Yaru; Wang, Qunwei; Zhou, Dequn",does air pollution inhibit manufacturing productivity in yangtze river delta china moderating effects of temperature,2022,JOURNAL OF ENVIRONMENTAL MANAGEMENT,,10.1016/j.jenvman.2022.114492,0,"China has been experiencing serious and recurrent incidences of air pollution in recent years. The frequency and timespans of such incidences are uncertain because of variable urban weather conditions, especially temperature, that inhibit the productivity of manufacturing companies. Matching data about listed manufacturing companies in China's Yangtze River Delta urban cluster from 2003 to 2018 with data on urban air pollution and weather, we explored the effects of air pollution on corporate productivity and the moderating role of temperature. We found that air pollution significantly inhibited the productivity of these companies, which decreased by about 0.1% for 1% increase in the concentration of PM2.5. Regarding industry heterogeneity, high-energy-consumption and low-technology manufacturing industries were more sensitive to the negative effects of air pollution. Furthermore, we concluded that low temperatures played an important role in causing significant increases in the negative effects of air pollution. In the fall and winter (October to January), the lower the temperatures resulted in stronger inhibitory effects of air pollution on corporate productivity. When the average daily temperature is 0 degrees C-3 degrees C, the moderating effects of temperature are even more obvious. To minimize the inhibitory effects of air pollution on productivity, governments and companies should implement positive adaptions to simultaneously confront air pollution and temperature change.",,,,Web of Science,,10.1016/j.jenvman.2022.114492,27,1,2026-07-01 12:23:51,
734,"Neidell, Matthew",air pollution and worker productivity,2017,IZA World of Labor,,,https://research.ebsco.com/plink/375b03fa-9fdb-3292-967d-a5a3cb311a36,"Environmental regulations are typically considered to be a drag on the economy. However, improved environmental quality may actually enhance productivity by creating a healthier workforce. Evidence suggests that improvements in air quality lead to improvements in worker productivity across a range of sectors, including agriculture, manufacturing, and the service sectors. These effects also arise at levels of air quality that are below pollution thresholds in countries with the highest levels of environmental regulation. The findings suggest a new approach for understanding the consequences of environmental regulations.",Human Capital; Skills; Occupational Choice; Labor Productivity ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Environmental Economics: Government Policy,Human Capital; Skills; Occupational Choice; Labor Productivity ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Environmental Economics: Government Policy,eng,EconLit,Journal Article,,734,1,2026-07-01 12:24:10,
