Title,Author,Year,Citation count,Open access,Abstract,DOI
"The Effect of Language on Economic Behavior: Evidence from Savings Rates, Health Behaviors, and Retirement Assets",M. Keith Chen,2013,748,Open Access,"Languages differ widely in the ways they encode time. I test the hypothesis that the languages that grammatically associate the future and the present, foster future-oriented behavior. This prediction arises naturally when well-documented effects of language structure are merged with models of intertemporal choice. Empirically, I find that speakers of such languages: save more, retire with more wealth, smoke less, practice safer sex, and are less obese. This holds both across countries and within countries when comparing demographically similar native households. The evidence does not support the most obvious forms of common causation. I discuss implications for theories of intertemporal choice.",https://doi.org/10.1257/aer.103.2.690
Particulate Pollution and the Productivity of Pear Packers,Tom Chang|Joshua Graff Zivin|Tal Gross|Matthew Neidell,2016,594,NOT Open Access,,https://doi.org/10.1257/pol.20150085
"Environment, Health, and Human Capital",Joshua Graff Zivin|Matthew Neidell,2013,581,NOT Open Access,,https://doi.org/10.1257/jel.51.3.689
"Air pollution, health, and socio-economic status: the effect of outdoor air quality on childhood asthma",Matthew Neidell,2004,527,NOT Open Access,,https://doi.org/10.1016/j.jhealeco.2004.05.002
The Long-Run Economic Consequences of High-Stakes Examinations: Evidence from Transitory Variation in Pollution,Avraham Ebenstein|Victor Lavy|Sefi Roth,2016,404,Open Access,"Cognitive performance during high-stakes exams can be affected by random disturbances that, even if transitory, may have permanent consequences. We evaluate this hypothesis among Israeli students who took a series of matriculation exams between 2000 and 2002. Exploiting variation across the same student taking multiple exams, we find that transitory PM 2.5 exposure is associated with a significant decline in student performance. We then examine these students in 2010 and find that PM 2.5 exposure during exams is negatively associated with postsecondary educational attainment and earnings. The results highlight how reliance on noisy signals of student quality can lead to allocative inefficiency. (JEL I21, I23, I26, J24, J31, Q51, Q53)",https://doi.org/10.1257/app.20150213
The relationship between indoor and outdoor airborne particles in the residential environment,Lídia Morawska|Congrong He|J. Hitchins|Dale Gilbert|Sandhya Parappukkaran,2001,210,NOT Open Access,,https://doi.org/10.1016/s1352-2310(01)00097-8
"Air Pollution and Daily Mortality in Residential Areas of Beijing, China",Xiping Xu|Jun Gao|Jun Gao|Yude Chen,1994,274,NOT Open Access,,https://doi.org/10.1080/00039896.1994.9937470
"Relationship between indoor and outdoor levels of fine particle mass, particle number concentrations and black smoke under different ventilation conditions",Josef Cyrys|Mike Pitz|W. Bischof|H‐Erich Wichmann|Joachim Heinrich,2004,148,NOT Open Access,,https://doi.org/10.1038/sj.jea.7500317
Air Quality and Error Quantity: Impacts of Ambient Air Quality on Worker Productivity and Decision-Making,James Archsmith,2015,62,Open Access,,https://doi.org/10.2139/ssrn.2683656
The Impact of Short Term Exposure to Ambient Air Pollution on Cognitive Performance and Human Capital Formation,Avraham Ebenstein|Victor Lavy|Sefi Roth,2014,31,NOT Open Access,,
