"DSSYYXAS,""journalArticle"",""2021"",""Zheng, Jingjing"; Shao, Xue-Feng; Liu, Wei; Kong, Jie;" Zuo, Gaoshan"",""The impact of the pilot program on industrial structure upgrading in low-carbon cities"",""Journal of Cleaner Production"","""","""",""10.1016/j.jclepro.2021.125868"","""",""NA"",""2021"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""125868-NA"","""",""NA"",""290"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PZD3W789,""journalArticle"",""2021"",""Fu, Shihe"; Viard, V. Brian;" Zhang, Peng"",""Air Quality and Manufacturing Firm Productivity: Nationwide Estimates for China"",""The Economic Journal"","""","""",""10.1093/ej/ueab033"","""",""We provide nationwide estimates of air pollution’s effect on short-run labor productivity for manufacturing firms in China from 1998 to 2007. An emerging literature estimates air pollution’s effects on labor productivity but only for small groups of workers of particular occupations or firms. To provide more comprehensive estimates necessary for policy analysis, we estimate effects for all but some small firms (90% of China’s manufacturing output) and capture all channels by which pollution influences productivity. We instrument for reverse causality between pollution and output using thermal inversions. Our causal estimates imply that a one"",""2021"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""3241-3273"","""",""640"",""131"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ZT2PT8Z6,""journalArticle"",""2024"",""Undi, G. S. N. V. K. S. N. Swamy";" Kantikar, Rohit"",""Investigation of the Effect of Aerosol Deposition by Applying Electrostatic Fields"",""Advances in Environmental and Engineering Research"","""","""",""10.21926/aeer.2401009"","""",""<jats:p>Particulate matter (PM) constitutes a significant risk factor for environmental health regarding ambient air quality. An epidemiological investigation has determined that inadequate air quality is associated with the development of lung and cardiovascular diseases, chronic ailments, respiratory infections, and a significant number of fatalities on a global scale. According to the World Health Organization (WHO), the annual mortality rate due to air pollution is around 7 million individuals. The necessity for researching air quality, climate change, and the challenges posed by particulate matter (PM) is widely recognized. While reducing ambient air quality, it is essential to consider the limitations of current technical control methods. This article focuses on developing and implementing advanced technology to mitigate particle pollution in urban environments. The comparison of empirical data and computational simulations has demonstrated the efficacy of utilizing pulsed radio waves to reduce particulate matter. The control technique exhibits a threefold increase in the rate of PM concentration reduction compared to gravity settling. The approach's efficacy was evaluated through controlled trials conducted in controlled chambers and urban environments, demonstrating up to 50% reductions. The validation of the implemented test case results of the control technology was performed using historical data while considering the existence of radio waves. The coagulation process demonstrated and verified the effectiveness of reducing particle matter. The employed methodology has been shown to encourage outcomes concerning mitigating particulate matter contamination within urban and industrial environments.</jats:p>"",""2024"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""1-37"","""",""1"",""5"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"NZVQAFY5,""journalArticle"",""2021"",""Zhao, Chunkai"; Deng, Min;" Cao, Xiguang"",""Does haze pollution damage urban innovation? Empirical evidence from China"",""Environmental science and pollution research international"","""","""",""10.1007/s11356-020-11874-x"","""",""The continuous outbreak of haze pollution attracted full attention and became one of the most severe environmental problems in China. Based on the panel data of 266 prefecture-level cities from 2000 to 2016, this paper investigates the effects of haze pollution on China’s urban innovation. Results show that (1) haze pollution does not damage urban innovation but forms a crisis-driven effect to stimulate it. (2) Haze pollution enhances the public’s environmental awareness, which induces the government to invest more in science and technology, and finally forces the improvement of urban innovation. (3) Haze pollution causes the loss of human capital and leading to a decrease in the number of people who engaged in scientific research, which weakens the city’s technological innovation ability. (4) The crisis-driven effect caused by haze pollution boosts the improvement of technological innovation in eastern cities, large cities, and northern cities. This study enriches the evidence on the relationship between haze pollution and urban innovation, which is significant for local governments to formulate green development and innovation-driven strategies."",""2021"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""16334-16349"","""",""13"",""28"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FATQKS53,""journalArticle"",""2022"",""Richard, Normand A";" Koehle, Michael S"",""Influence and Mechanisms of Action of Environmental Stimuli on Work Near and Above the Severe Domain Boundary (Critical Power)."",""Sports medicine - open"","""","""",""10.1186/s40798-022-00430-1"","""",""The critical power (CP) concept represents the uppermost rate of steady state aerobic metabolism during work. Work above CP is limited by a fixed capacity (W') with exercise intensity being an accelerant of its depletion rate. Exercise at CP is a considerable insult to homeostasis and any work done above it will rapidly become intolerable. Humans live and exercise in situations of hypoxia, heat, cold and air pollution all of which impose a new environmental stress in addition to that of exercise. Hypoxia disrupts the oxygen cascade and consequently aerobic energy production, whereas heat impacts the circulatory system's ability to solely support exercise performance. Cold lowers efficiency and increases the metabolic cost of exercise, whereas air pollution negatively impacts the respiratory system. This review will examine the effects imposed by environmental conditions on CP and W' and describe the key physiological mechanisms which are affected by the environment."",""2022"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""42-42"","""",""1"",""8"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GYP37AGE,""journalArticle"",""2023"",""Samadi, Sepehr";" Kumawat, Ashok Kumar"",""IoT Enabled Low-Cost Real-Time Remote Air Quality Monitoring and Forecasting System"",""2023 International Conference on Device Intelligence, Computing and Communication Technologies, (DICCT)"","""","""",""10.1109/dicct56244.2023.10110229"","""",""Gas poisoning and other health problems can be greatly avoided using forecasting and prediction of air quality. These metrics were previously observed using huge, pricey, and fixed air quality monitoring stations. Due to their high cost, these stations cannot be installed in many locations, which results in a dearth of monitoring stations in many locations. These problems can be solved with the use of compact, affordable, and portable air quality monitoring systems. Additionally, it is possible to automate and monitor air quality using inexpensive air quality monitoring equipment. These systems can be used in any home and office, car and etc. In this paper, we built and put into action a portable, affordable, and tiny hardware platform for monitoring air quality that can be accessed remotely through a web application. Additionally, we have used a dataset and certain forecasting algorithms to predict each parameter over a given time frame."",""2023"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""253-258"","""",""NA"",""NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"HYUHWJ7R,""journalArticle"",""2021"",""Liu, Xiaoxiao"; Dong, Xueying; Li, Shan; Ding, Yueting;" Zhang, Ming"",""Air pollution and high human capital population migration: An empirical study based on 35 major cities in China"",""Sustainable Production and Consumption"","""","""",""10.1016/j.spc.2021.01.032"","""",""NA"",""2021"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""643-652"","""",""NA"",""27"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"7KMNX882,""journalArticle"",""2025"",""Zhang, Huaxi"; Charlie Sohn, Byungcherl;" Zhang, Kexin"",""Financial reporting during gloomy days: Air pollution and real earnings management"",""Journal of Accounting and Public Policy"","""","""",""10.1016/j.jaccpubpol.2025.107283"","""",""NA"",""2025"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""107283-107283"","""",""NA"",""50"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"NNW6NPG6,""journalArticle"",""2023"",""Chen, Guorong";" Liu, Changyan"",""Can Low–Carbon City Development Stimulate Population Growth? Insights from China's Low–Carbon Pilot Program"",""Sustainability"","""","""",""10.3390/su152014751"","""",""<jats:p>In line with global trends, China confronts significant environmental challenges while navigating critical shifts in its population dynamics. The low–carbon pilot program, initiated in China in 2010 and spanning over 100 cities, is dedicated to reducing carbon emissions while facilitating robust economic growth. However, the program’s impact on population growth has remained uncertain. Employing a quasi–natural experiment and the Difference–in–Difference method, this study reveals a positive association between the program and population growth. The analysis of mediating effects indicates that the program potentially stimulates population growth by attracting more Investment and reducing exhaust emissions. Nevertheless, there is a lack of evidence supporting its ability to enhance population growth through the promotion of household income. Further investigation reveals a diminishing effect of the program on population growth as cities transition from eastern to middle to western regions. Notably, no substantial heterogeneity is observed concerning the impact of GDP per capita on population growth. This research contributes empirical insights into the relationship between low–carbon programs and population growth, offering valuable guidance to municipalities seeking to bolster their populations. The potency of these strategies can be augmented by attracting investment and enhancing air quality, in contrast to a sole focus on income levels. Ultimately, the study provides actionable policy recommendations in this context.</jats:p>"",""2023"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""14751-14751"","""",""20"",""15"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"6TMLL254,""journalArticle"",""2024"",""Meyer, Steffen";" Pagel, Michaela"",""Fresh air eases work—the effect of air quality on individual investor activity"",""Review of Finance"","""","""",""10.1093/rof/rfae005"","""",""<jats:title>Abstract</jats:title> <jats:p>This article shows that contemporaneous and lagged air pollution negatively affects the likelihood of German individual investors to log in and trade in their brokerage accounts, using intraday data and controlling for investor-, weather-, traffic-, and market-specific factors. A 1 SD increase in air pollution leads to a 1.3 percent reduction in the probability of logging in, which is larger than the response to a 1 SD increase in sunshine. We argue that changes in air pollution affect productivity in cognitively demanding tasks, such as trading. Our results are robust to macroeconomic productivity shocks, nonlinearities, or measurement error.</jats:p>"",""2024"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""1105-1149"","""",""3"",""28"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BL7XAZ9E,""journalArticle"",""2021"",""Bracht, Felix";" Verhoeven, Dennis"",""Air Pollution and Innovation"",""SSRN Electronic Journal"","""","""",""10.2139/ssrn.3808260"","""",""Existing estimates of the economic costs of air pollution do not account for its effect on inventive output. Using two weather phenomena as instruments, we estimate this effect in a sample of 1,288 European regions. A decrease in exposure to small particulate matter of 0.17 micro-gram/m3 -- the average yearly reduction in Europe -- leads to 1.7% more patented inventions. After ruling out reallocation of human capital, inventor mortality and R&D expenditures as drivers of the effect, we conclude that air pollution's harm to economic output increases by at least 10% when accounting for innovation."",""2021"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""NA-NA"","""",""NA"",""NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"8NUQ2GIR,""journalArticle"",""2021"",""Della Vecchia, Alessandra"; Mucci, Federico; Pozza, Andrea;" Marazziti, Donatella"",""Negative Air Ions in Neuropsychiatric Disorders."",""Current medicinal chemistry"","""","""",""10.2174/0929867327666200630104550"","""",""Background Air ions (AIs) are clusters of ionized particles present in the atmosphere and carrying an electrical charge of negative or positive polarity. Past speculations suggested that exposure to positive air ions may be harmful, while exposure to negative air ions (NAIs) may be associated with beneficial health effects. Increasing attention has been directed towards investigating the potential effect of NAIs on human brain activities since initial observations of their beneficial effects on some cognitive processes and mood. Aims Given the paucity and scattered literature, the aim of our paper is at reviewing available studies on potential positive effects of NAIs exposure on cognitive performances and depression. Discussion The review of the literature seems to confirm effects of NAIs on several brain functions. Indeed, a significant association between NAIs exposure and both wellbeing and high cognitive performances has been described. However, the exposure to high concentrations of NAIs could be related to improvement of depressive symptoms. Conclusion A growing evidence of data, although not yet conclusive, would suggest that NAIs might improve cognitive processes. These findings require specific and urgent controlled trials adopting systems based on AIs release to possible prevent and treat cognitive dysfunctions present in a broad range of neuropsychiatric conditions."",""2021"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""2521-2539"","""",""13"",""28"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ZF5KU2DV,""journalArticle"",""2023"",""Shen, Feiwei"; Wang, Qiang; Zou, Jing; Yan, Huili;" Wang, Baitao"",""Air Pollution and Migration Decision of Migrants in Low-Carbon Society."",""International journal of environmental research and public health"","""","""",""10.3390/ijerph20010870"","""",""The influence of environmental quality on the quality of urban life and on migration decisions is an important research issue in urban economics and environmental economics. Using the 2012-2014 China Labor Dynamics Survey data (CLDS), this paper uses a conditional logit model (CLM) and Instrumental Variable (IV) estimation to examine the impact of air pollution on the migrant migration decision. We find that air pollution significantly negatively impacts the migration decisions of migrants. Specifically, if the PM2.5 level of a city increases by 10 μg/m<sup>3</sup>, the probability of migrants flowing into the city will be significantly reduced by 21.2%. It shows that migrants choose to flow into cities with better spatial quality to reduce the risk of exposure to air pollution. After controlling for the characteristics of the outflow and the reasons for the flow, the impact of air pollution on migrants' migration decisions remains robust. Heterogeneity analysis shows that middle-aged, male, married, and highly educated migrants are more sensitive to air pollution. This paper enriches the research on air pollution and labor mobility at the micro level and provides empirical evidence for policymaking related to environmental governance and labor mobility in a low-carbon society."",""2023"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""870-870"","""",""1"",""20"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"HIXL4C8J,""journalArticle"",""2025"",""González-Rojas, Sofía"; Yáñez-Sepúlveda, Rodrigo; Tuesta, Marcelo; Sánchez-Ureña, Braulio; Trejos-Montoya, José; Olivares-Arancibia, Jorge; López-Gil, José Francisco;" Rojas-Valverde, Daniel"",""Air Pollution and Endurance Exercise: A Systematic Review of the Potential Effects on Cardiopulmonary Health."",""Life (Basel, Switzerland)"","""","""",""10.3390/life15040595"","""",""This systematic review aimed to analyze the implications of endurance exercise in environments with certain levels of air pollution. This study was developed on the basis of the consensus of the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA). The present review is supported by articles containing the main databases PubMed, Elsevier, and Web of Science (WoS), including scientific articles published in the last 20 years. This study highlights that exposure to air pollution during endurance activities, such as cycling and outdoor running, significantly affects cardiopulmonary health. In conclusion, while physical exercise in environments with high air pollution presents significant risks to cardiopulmonary health, implementing preventive measures and adopting public policies are crucial to minimizing these impacts and promoting safe exercise practices. Likewise, on the basis of these results, it is possible to motivate the creation of safe and natural spaces for sports practice."",""2025"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""595-595"","""",""4"",""15"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"JHEX6JIW,""journalArticle"",""2022"",""Bari, Muhammad Waseem"; Saleem, Shaham; Bashir, Mohsin;" Ahmad, Bashir"",""Impact of ambient air pollution on outdoor employees' performance: Mediating role of anxiety."",""Frontiers in psychology"","""","""",""10.3389/fpsyg.2022.926534"","""",""This paper aims to examine the direct and indirect impact of ambient air pollution (AAP) on employees' performance. This study has used cross sectional survey design to collect the data from the outdoor employees of the pharmaceutical industry of Pakistan. The data were collected in time lags from 299. Partial least squares- structural equation modeling (PLS-SEM) approach was applied to analyze the data. The results show that AAP has a significant negative impact on the employees' performance, and anxiety partially mediates the association between AAP and employees' performance. This study reveals that AAP brings anxiety among outdoor employees, which in turn decreases their working performance. The implications, limitations, and future research directions are presented in the last section of this study."",""2022"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""926534-926534"","""",""NA"",""13"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"EVCKUPMD,""book"",""2023"",""Du, Xinming"; Rentschler, Jun;" Russ, Jason"",""People's Unequal Exposure to Air Pollution: Evidence for the World's Coal-Fired Power Plants"","""","""","""",""10.1596/1813-9450-10400"","""",""The world's over 3,800 coal-fired power plants are sources of substantial emissions of toxic air pollutants. This study explores people's unequal exposure to air pollution from these coal plants. It simulates the wind dispersion of pollutants originating from each coal power plant using the Hybrid Single Particle Lagrangian Integrated Trajectory Model (HYSPLIT) with Gaussian dispersion. The study generates three-dimensional pollution trajectories and provide a global map of nitrogen oxide (NOx), sulfur dioxide (SO2), and particle pollution from coal plants and their contributions to overall pollution levels. The study estimates that 2.3 billion people globally are exposed to SO2 and particle pollution from coal plants";" 247.5 million of them are exposed to transboundary pollution from foreign coal plants. The findings show that pollution increases with income levels, though at a diminishing rate at high income levels. In the proximity of coal power plants, downwind areas are associated with higher pollution and lower income levels compared to areas upwind. These findings are consistent with strategic location choices that cause or reinforce environmental injustices associated with air pollution."",""2023"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""","""",""NA"","""",""NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""Issue: NA Pages: NA Publication Title: NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"TYI85I5I,""journalArticle"",""2024"",""Mougin, Loïs"; Bougault, Valérie; Racinais, Sébastien; Mountjoy, Margo L; Stephenson, Ben; Carter, Sarah; James, Lewis J; Mears, Stephen A;" Taylor, Lee"",""Environmental challenges facing athletes, stakeholders and spectators at Paris 2024 Olympic and Paralympic Games: an evidence-based review of mitigation strategies and recommendations."",""British journal of sports medicine"","""","""",""10.1136/bjsports-2024-108281"","""",""The upcoming Paris 2024 Olympic and Paralympic Games could face environmental challenges related to heat, air quality and water quality. These challenges will pose potential threats to athletes and impact thousands of stakeholders and millions of spectators. Recognising the multifaceted nature of these challenges, a range of strategies will be essential for mitigating adverse effects on participants, stakeholders and spectators alike. From personalised interventions for athletes and attendees to comprehensive measures implemented by organisers, a holistic approach is crucial to address these challenges and the possible interplay of heat, air and water quality factors during the event. This evidence-based review highlights various environmental challenges anticipated at Paris 2024, offering strategies applicable to athletes, stakeholders and spectators. Additionally, it provides recommendations for Local Organising Committees and the International Olympic Committee that may be applicable to future Games. In summary, the review offers solutions for consideration by the stakeholders responsible for and affected by the anticipated environmental challenges at Paris 2024."",""2024"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""870-881"","""",""15"",""58"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"V6ILCVJT,""journalArticle"",""2020"",""Kermenidou, M"; Balcells, Ll.; Martinez-Boubeta, Carlos; Chatziavramidis, A.; Konstantinidis, I.; Samaras, Theodoros; Sarigiannis, Dimosthenis;" Simeonidis, Konstantinos"",""Magnetic nanoparticles: An indicator of health risks related to anthropogenic airborne particulate matter."",""Environmental pollution (Barking, Essex : 1987)"","""","""",""10.1016/j.envpol.2020.116309"","""",""NA"",""2020"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""116309-116309"","""",""NA"",""271"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"MNJ7TQZG,""journalArticle"",""2021"",""Marcus, Michelle"",""Pollution at schools and children's aerobic capacity."",""Health economics"","""","""",""10.1002/hec.4425"","""",""Poor respiratory health is a major cause of mortality and morbidity worldwide, and children are especially vulnerable. Existing research in economics has documented the effect of pollution on severe health outcomes, such as hospitalizations for asthma and infant death. However, evidence on the effect of air pollution on less extreme measures of respiratory health is limited, because these effects are difficult to measure. Using a more sensitive measure, aerobic capacity ( V O 2 m a x ), I study the impact of air pollution on respiratory performance of children. I combine school-grade level data from the California Physical Fitness Test from 2009 to 2017 with local air pollution and weather data to estimate the impact on student aerobic capacity of fluctuations in air pollution levels on testing days. Ozone affects child aerobic capacity at levels even below the Environmental Protection Agency thresholds."",""2021"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""3016-3031"","""",""12"",""30"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
