Authors.full.names,Title,Year,Source.title,Cited.by,DOI,Link,Abstract,Author.Keywords,Index.Keywords,Language.of.Original.Document,Source,Document.Type,doi_n
"Kountouris, Yiannis",ambient pm2 5 influences productive activities in public sector bureaucracies,2020,Environmental Research Communications,NA,10.1088/2515-7620/ab78cb,NA,"<jats:title>Abstract</jats:title> <jats:p>Fine particles (PM2.5) can penetrate buildings through ventilation and air conditioning systems, exposing indoors workers to pollution levels similar to those prevailing outdoors. This letter investigates the immediate influence of fine particle pollution on the productive activity of local government bureaucracies, linking novel data on the daily output of local governments in municipalities of the Athens metropolitan area, Greece, to PM2.5 levels recorded nearby. To address biases introduced by omitted variables and measurement error, I use the plausibly exogenous variation introduced by the basin’s horizontal ventilation, instrumenting PM2.5 levels with local wind strength. Estimates suggest a statistically and quantitatively significant negative effect from PM2.5 on the output of public administrations. Increasing PM2.5 levels by 1% decreases the activity proxy by around 0.25%. Results point to the influence PM2.5 can have on activities that are mentally but not physically demanding and suggest that costs from PM2.5 will increase with the share of global income produced by office workers.</jats:p>",NA,NA,NA,Snowballing,journalArticle,10.1088/2515-7620/ab78cb
"Longman, Daniel P; Shaw, Colin N",homo sapiens industrialisation and the environmental mismatch hypothesis,2025,Biological reviews of the Cambridge Philosophical Society,NA,10.1111/brv.70094,NA,"For the vast majority of the evolutionary history of Homo sapiens, a range of natural environments defined the parameters within which selection shaped human biology. Although human-induced alterations to the terrestrial biosphere have been evident for over 10,000 years, the pace and scale of change has accelerated dramatically since the onset of the Industrial Revolution in the late 18th century. Industrialisation has profoundly transformed our various natural habitats, driving rapid urban expansion, increasing reliance on fossil fuel energy and causing environmental contamination, ecosystem degradation and biodiversity loss. Today, most of the world's population resides in highly industrialised urban areas. These new primary human habitats differ fundamentally from our ancestral natural habitats, creating novel environmental challenges while, simultaneously, lacking key natural features linked to health and function. Although the adaptive capacity of humans has enabled survival in diverse and fluctuating environmental conditions, this capacity is limited. It is possible that the rapid industrialisation of our habitat is outpacing our adaptive capacity and is imposing selective pressures that threaten our evolutionary fitness. A growing body of observational and experimental evidence suggests that industrialisation negatively impacts key biological functions essential for survival and reproduction and, therefore, evolutionary fitness. Specifically, environmental contamination arising directly from industrial activities (e.g. air, noise and light pollution, microplastic accumulation) is linked to impaired reproductive, immune, cognitive and physical function. Chronic activation of the stress response systems, which further impairs these biological functions, also appears more pronounced in industrialised areas. Here, we consider whether the rapid and extensive environmental shifts of the Anthropocene have compromised the fitness of Homo sapiens. We begin by contrasting contemporary and ancestral human habitats before assessing the effects of these changes on core biological functions that underpin evolutionary fitness. We then ask whether industrialisation has created a mismatch between our primarily nature-adapted biology and the novel challenges imposed by contemporary industrialised environments - a possibility that we frame through the lens of the Environmental Mismatch Hypothesis. Finally, we explore experimental approaches to test this hypothesis and discuss the broader implications of such a mismatch.",NA,NA,NA,Snowballing,journalArticle,10.1111/brv.70094
"Liu, Huan; Hu, Tiantian; Wang, Meng",impact of air pollution on residents medical expenses a study based on the survey data of 122 cities in china,2021,Frontiers in public health,NA,10.3389/fpubh.2021.743087,NA,"<b>Background:</b> With the development of the social economy, air pollution has resulted in increased social costs. Medical costs and health issues due to air pollution are important aspects of environmental governance in various countries. <b>Methods:</b> This study uses daily air pollution monitoring data from 122 cities in China to empirically investigate the impact of air pollution on residents' medical expenses using the Heckman two-stage and instrumental variable methods, matching data from the 2018 China Health and Retirement Longitudinal Study (CHARLS) survey. <b>Results:</b> The study found that poor air quality, measured by the air quality index (AQI), significantly increased the probability of chronic lung disease, heart disease, and self-rated poor health. Additionally, the AQI (with an effect of 4.51%) significantly impacted health-seeking behavior and medical expenses. The medical expenditure effects of mild, moderate, severe, and serious pollution days were 3.27, 7.21, 8.62, and 42.66%, respectively. <b>Conclusion:</b> In the long run, residents' health in areas with a higher air pollution index, indicating poor air quality, is negatively impacted. The more extreme the pollution, the higher the probability of residents' medical treatment and the subsequent increase in medical expenses. Group and regional heterogeneity also play a role in the impact of air pollution on medical expenses. Compared with the existing literature, this study is based on individuals aged 15 years and above and produces reliable research conclusions.",NA,NA,NA,Snowballing,journalArticle,10.3389/fpubh.2021.743087
"Zhao, Zhihao; Gu, Hengyu; Lei, Ping; Lao, Xin",dilemmas for regional inequality in talent aggregation through environmental amenities re examine china s hukou puzzle,2025,Habitat International,NA,10.1016/j.habitatint.2025.103440,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.habitatint.2025.103440
"Zhang, Qiang; Yin, Zhicong; Lu, Xi; Gong, Jicheng; Lei, Yu; Cai, Bofeng; Cai, Cilan; Chai, Qimin; Chen, Huopo; Dai, Hancheng; Dong, Zhanfeng; Geng, Guannan; Guan, Dabo; Hu, Jianlin; Huang, Cunrui; Kang, Jianing; Li, Tiantian; Li, Wei; Lin, Yongsheng; Liu, Jun; Liu, Xin; Liu, Zhu; Ma, Jinghui; Shen, Guofeng; Tong, Dan; Wang, Xuhui; Wang, Xuying; Wang, Zhili; Xie, Yang; Xu, Honglei; Xue, Tao; Zhang, Bing; Zhang, Da; Zhang, Shaohui; Zhang, Shaojun; Zhang, Xian; Zheng, Bo; Zheng, Yixuan; Zhu, Tong; Wang, Jinnan; He, Kebin",synergetic roadmap of carbon neutrality and clean air for china,2023,Environmental science and ecotechnology,NA,10.1016/j.ese.2023.100280,NA,"It is well recognized that carbon dioxide and air pollutants share similar emission sources so that synergetic policies on climate change mitigation and air pollution control can lead to remarkable co-benefits on greenhouse gas reduction, air quality improvement, and improved health. In the context of carbon peak, carbon neutrality, and clean air policies, this perspective tracks and analyzes the process of the synergetic governance of air pollution and climate change in China by developing and monitoring 18 indicators. The 18 indicators cover the following five aspects: air pollution and associated weather-climate conditions, progress in structural transition, sources, inks, and mitigation pathway of atmospheric composition, health impacts and benefits of coordinated control, and synergetic governance system and practices. By tracking the progress in each indicator, this perspective presents the major accomplishment of coordinated control, identifies the emerging challenges toward the synergetic governance, and provides policy recommendations for designing a synergetic roadmap of Carbon Neutrality and Clean Air for China.",NA,NA,NA,Snowballing,journalArticle,10.1016/j.ese.2023.100280
"Hsu, Wen; Hwang, Bing-Fang; Jung, Chau-Ren; Yau-Huo, NA; Shr, NA",can air pollution save lives air quality and risky behaviors on roads,2021,arXiv: General Economics,NA,NA,NA,"Air pollution has been linked to elevated levels of risk aversion. This paper provides the first evidence showing that such effect reduces life-threatening risky behaviors. We study the impact of air pollution on traffic accidents caused by risky driving behaviors, using the universe of accident records and high-resolution air quality data of Taiwan from 2009 to 2015. We find that air pollution significantly decreases accidents caused by driver violations, and that this effect is nonlinear. In addition, our results suggest that air pollution primarily reduces road users' risky behaviors through visual channels rather than through the respiratory system.",NA,NA,NA,Snowballing,journalArticle,NA
"Yang, Yongliang; Fang, Jing; Wang, Wen; Li, Yan; Li, Yi",the impact of air quality on effective labor supply based on the survey data of zhejiang province in china,2021,Sustainability,NA,10.3390/su13074012,NA,"Labor is one of the most important factors of production and the basis for the development of social productivity. China’s aging population problem is serious, and the study of the labor supply is of great importance in order to achieve its second centenary goal regarding social development. In this study, four stage mixed sampling was used to conduct a questionnaire survey in the Zhejiang province of China, and 590 valid questionnaires were obtained. An ordered logit model and sample selection model were used to analyze the impact of air quality on the effective labor supply. The results show that the effective labor supply was significantly correlated with air quality. That is, the worse the air quality was, the lower the effective labor supply was, although this relationship was more explicit for people who worked indoors. When air quality impedes residents’ daily lives and even affects their health, it indirectly affects the effective supply of local labor. This paper indicates the causal relationship between economic development and the ecological environment and has enlightening significance for the realization of sustainable development.",NA,NA,NA,Snowballing,journalArticle,10.3390/su13074012
"Dong, Daxin; Xu, Boyang; Shen, Ning; He, Qian",the adverse impact of air pollution on china s economic growth,2021,Sustainability,NA,10.3390/su13169056,NA,"This study empirically evaluates the impact of air pollution on China’s economic growth, based on a province-level sample for the period 2002–2017. Air pollution is measured by the concentration of fine particulate matter (PM2.5), and economic growth is measured by the annual growth rate of gross domestic product (GDP) per capita. A panel data fixed-effects regression model is built, and the instrumental variables estimation method is utilized for quantitative analyses. The study reports a significant negative impact of air pollution on the macroeconomic growth of China. According to our instrumental variables estimation, holding other factors constant, if the concentration of PM2.5 increases by 1%, then the GDP per capita growth rate will decline by 0.05818 percentage points. In addition, it is found that the adverse effect of atmospheric pollution is heterogeneous across different regions. The effect is stronger in the eastern region and in provinces with smaller state-owned enterprise shares, fewer governmental expenditures for public health services, and fewer medical resources. The study results reveal that air pollution poses a substantial threat to the sustainable economic growth of China. Taking actions to abate air pollution will generate great economic benefits, especially for those regions which are heavily damaged by pollution.",NA,NA,NA,Snowballing,journalArticle,10.3390/su13169056
"Cvijanovic, Dragana; Rolheiser, Lyndsey; Schoni, Olivier; Van de Minne, Alex",smoked out impact of wildfire smoke on labour and buildings,2024,NA,NA,10.2139/ssrn.4999797,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.2139/ssrn.4999797
"Hu, Zhigao; Li, Jing; Long, Hui",how air pollution inhibits economic development empirical analysis and mechanism verification based on prefecture level data in china,2024,"Environment, Development and Sustainability",NA,10.1007/s10668-023-04422-3,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1007/s10668-023-04422-3
"Rivera, Nathaly M.",air quality warnings and temporary driving bans evidence from air pollution car trips and mass transit ridership in santiago,2021,Journal of Environmental Economics and Management,NA,10.1016/j.jeem.2021.102454,NA,"Abstract Driving restrictions are a common governmental strategy to reduce airborne pollution and traffic congestion in many cities of the world. Using high-frequency data on air pollution, car trips, and mass-transit systems ridership, I evaluate the effectiveness of temporary driving bans triggered by air quality warnings in Santiago, Chile. I employ a fuzzy regression discontinuity design that uses the thresholds in the air quality index used to announce these warnings as instruments for their announcement. Results show that these temporary bans reduce car trips by 6–9% during peak hours, and by 7–8% during off-peak hours. This is consistent with air pollution reductions during peak hours, and with increases in the use of Santiago's mass-transit systems during hours the systems run with excess capacity. Increments in mass-transit ridership uncover the importance of alternative modes of transportation in securing the effectiveness of temporary driving bans.",NA,NA,NA,Snowballing,journalArticle,10.1016/j.jeem.2021.102454
"Zhou, Changjing; Hopkins, Will G.; Mao, Wanli; Calvo, Alberto Lorenzo; Liu, Hongyou",match performance of soccer teams in the chinese super league effects of situational and environmental factors,2019,International journal of environmental research and public health,NA,10.3390/ijerph16214238,NA,"To investigate the effects of situational factors (match location, strength of team and opponent) and environmental factors (relative air humidity, temperature and air quality index) on the technical and physical match performance of Chinese Soccer Super League teams (CSL). The generalized mixed modelling was employed to determine the effects by using the data of all 240 matches in the season 2015 collected by Amisco Pro®. Increase in the rank difference would increase the number of goal-scoring related, passing and organizing related actions to a small-to-moderate extent (Effect size [ES]: 0.37–0.99). Match location had small positive effects on goal-scoring related, passing and organizing related variables (ES: 0.27–0.51), while a small negative effect on yellow card (ES = −0.35). Increment in relative air humidity and air quality index would only bring trivial or small effects on all the technical performance (ES: −0.06–0.23). Increase in humidity would decrease the physical performance at a small magnitude (ES: −0.55–−0.38). Teams achieved the highest number in the physical performance-related parameters at the temperature between 11.6 and 15.1 °C. In the CSL, situational variables had major effects on the technical performance but trivial effects on the physical performance, on the contrary, environmental factors affected mainly the physical performance but had only trivial or small impact on the technical performance.",NA,NA,NA,Snowballing,journalArticle,10.3390/ijerph16214238
"Jooste, Charl; Loch-Temzelides, Ted; Sampi, James; Dudu, Hasan",pollution and labor productivity evidence from chilean cities,2022,NA,NA,10.1596/1813-9450-10236,NA,This paper investigates the effects&#13;\n of pollution on labor productivity in Chile. Data on fine&#13;\n particulate matter pollution in Chile were collected and&#13;\n matched to sectoral labor productivity at the city level.&#13;\n The endogeneity between labor productivity and pollution is&#13;\n controlled for by instrumenting on the presence of coal and&#13;\n diesel power plants. The paper finds that pollution reduces&#13;\n labor productivity. A series of robustness checks&#13;\n demonstrate that pollution has a statistically significant&#13;\n effect on productivity when the analysis controls for labor&#13;\n costs and entry rates. The paper provides extensive evidence&#13;\n to support a causal interpretation of this finding. The&#13;\n identification strategy is based on a stylized macroeconomic&#13;\n model. The pollution elasticity of labor productivity is&#13;\n used to demonstrate how the co-benefits of reducing&#13;\n pollution can be incorporated into mitigation policies in a&#13;\n general equilibrium framework.,NA,NA,NA,Snowballing,book,10.1596/1813-9450-10236
"Saxena, Pallavi; Sonwani, Saurabh",primary criteria air pollutants environmental health effects,2019,Criteria Air Pollutants and their Impact on Environmental Health,NA,10.1007/978-981-13-9992-3_3,NA,"A polluted air is a harmful complex combination of primary and secondary pollutants in the atmosphere. The US Environmental Protection Agency (USEPA) listed the six most common air pollutants as criteria air pollutant under the Clean Air Act. The primary criteria air pollutants (CO, SO2, NO2, PM and Pb) are released into the atmosphere directly from their emission source. Due to their highly reactive nature, they get easily participated in a variety of reactions during atmospheric chemical transformation reactions. Due to the dry and wet deposition process, they may easily settle down onto ground/vegetation/ecosystems/water surfaces/building materials and show negative impact on their health/life/durability/beauty. The primary criteria air pollutants also produce adverse health effects to human being after their short-term/long-term exposure. Asthma, bronchitis, lung cancer and cardiopulmonary problems are the major noticed due to inhalation exposure of these pollutants. Mental disorder, kidney disorder and abortion are other harmful impacts. The WHO reported the level distribution and harmful effects of air pollutants several times in the past few decades. The direct and indirect effects of criteria air pollutants in changing climate are also discussed.",NA,NA,NA,Snowballing,bookSection,10.1007/978-981-13-9992-3_3
"Warguła, Łukasz; Kukla, Mateusz; Lijewski, Piotr; Dobrzyński, Michał; Markiewicz, Filip",influence of innovative woodchipper speed control systems on exhaust gas emissions and fuel consumption in urban areas,2020,Energies,NA,10.3390/en13133330,NA,"This paper discusses the determination of fuel consumption and exhaust gas emissions when shredding branches in urban areas. It aimed to determine the hourly emission of exhaust gases to the atmosphere during such work and to identify the designs that can reduce it. The research was carried out with a cylinder woodchipper driven by a low-power (9.5 kW) combustion engine. There were three configurations of the tested drive unit: The factory setting (A) with a carburettor fuel supply system, modernized by us to include an electronic injection system (B). This system (B) was expanded with an adaptation system patented by the authors (P. 423369), thus creating the third configuration (C). The research was carried out when shredding cherry plum (Prunus cerasifera Ehrh. Beitr. Naturk. 4:17. 1789 (Gartenkalender 4:189-204. 1784)) branches with a diameter of 80 mm, which presented a large load for the machine. The machine was operated by one experienced operator. The average operating conditions during the tests were as follows: Branch delivery frequency of about 4 min−1 and mass flow rate of about 0.72 t h−1. During the tests with the use of PEMS (portable emissions measurement system, here Axion RS from Global MRV), we analyzed the emissions of compounds, such as CO, CO2, HC, and NOx, and determined the fuel consumption based on the carbon balance. The research showed that the use of an injection system (B) reduced fuel consumption from 1.38 to 1.29 l h−1 (by 6.7%) when compared to the carburettor system (A). Modernization of the injection system (B) with an adaptive system (C) reduced fuel consumption from 1.38 to 0.91 l h−1 (by 34%) when compared to the carburettor system (A). An hour of shredding with a cylinder chopper emits the following amounts of flue gases: design A (HC 0.013 kg h−1; CO 0.24 kg h−1; CO2 2.91 kg h−1; NOx 0.0036 kg h−1), design B (HC 0.0061 kg h−1; CO 0.20 kg h−1; CO2 2.77 kg h−1; NOx 0.0038 kg h−1), and design C (HC 0.017 kg h−1; CO 0.22 kg h−1; CO2 1.79 kg h−1; NOx 0.0030 kg h−1). The adaptive system entails significant reductions in non-HC emissions, which indicates that the system needs to be improved with respect to fuel-air mixture control for its enrichment of the low-to-high-speed change. The admissible emission limits for harmful compounds in exhaust gas for the tested group of propulsion units are in accordance with the provisions in force in the European Union from 2019 for the tested propulsion units during operation, with a full CO load about 6100 g h−1 and HC + NOx about 80 g h−1. The tested propulsion units emitted significantly less pollution under real operating conditions (because they did not work under full load throughout the entire test sample).",NA,NA,NA,Snowballing,journalArticle,10.3390/en13133330
"Lung, Shih-Chun Candice; Thi Hien, To; Cambaliza, Maria Obiminda L; Hlaing, Ohnmar May Tin; Oanh, Nguyen Thi Kim; Latif, Mohd Talib; Lestari, Puji; Salam, Abdus; Lee, Shih-Yu; Wang, Wen-Cheng Vincent; Tsou, Ming-Chien Mark; Cong-Thanh, Tran; Cruz, Melliza Templonuevo; Tantrakarnapa, Kraichat; Othman, Murnira; Roy, Shatabdi; Dang, Tran Ngoc; Agustian, Dwi",research priorities of applying low cost pm2 5 sensors in southeast asian countries,2022,International journal of environmental research and public health,NA,10.3390/ijerph19031522,NA,"The low-cost and easy-to-use nature of rapidly developed PM<sub>2.5</sub> sensors provide an opportunity to bring breakthroughs in PM<sub>2.5</sub> research to resource-limited countries in Southeast Asia (SEA). This review provides an evaluation of the currently available literature and identifies research priorities in applying low-cost sensors (LCS) in PM<sub>2.5</sub> environmental and health research in SEA. The research priority is an outcome of a series of participatory workshops under the umbrella of the International Global Atmospheric Chemistry Project-Monsoon Asia and Oceania Networking Group (IGAC-MANGO). A literature review and research prioritization are conducted with a transdisciplinary perspective of providing useful scientific evidence in assisting authorities in formulating targeted strategies to reduce severe PM<sub>2.5</sub> pollution and health risks in this region. The PM<sub>2.5</sub> research gaps that could be filled by LCS application are identified in five categories: source evaluation, especially for the distinctive sources in the SEA countries; hot spot investigation; peak exposure assessment; exposure-health evaluation on acute health impacts; and short-term standards. The affordability of LCS, methodology transferability, international collaboration, and stakeholder engagement are keys to success in such transdisciplinary PM<sub>2.5</sub> research. Unique contributions to the international science community and challenges with LCS application in PM<sub>2.5</sub> research in SEA are also discussed.",NA,NA,NA,Snowballing,journalArticle,10.3390/ijerph19031522
